2018-09-17,492,-
2018-09-18,618,-
2018-09-19,-,-
2018-09-20,519,-
2018-09-21,508,-
2018-09-22,-,-
2018-09-23,-,-
2018-09-24,-,-
2018-09-25,-,-
2018-09-26,-,-
2018-09-27,-,-
2018-09-28,-,-
2018-09-29,0,-
2018-09-30,-,-
2018-10-01,-,-
2018-10-02,-,-
2018-10-03,-,-
2018-10-04,-,-
2018-10-05,-,-
2018-10-06,-,-
2018-10-07,-,-
2018-10-08,-,-
2018-10-09,-,-
2018-10-10,-,-
2018-10-11,-,-
2018-10-12,-,-
2018-10-13,-,-
2018-10-14,-,-
2018-10-15,-,-
2018-10-16,-,-
2018-10-17,-,-
2018-10-18,-,-
2018-10-19,-,-
2018-10-20,-,-
2018-10-21,-,-
2018-10-22,-,-
2018-10-23,-,-
2018-10-24,-,-
2018-10-25,-,-
2018-10-26,-,-
2018-10-27,-,-
2018-10-28,-,-
2018-10-29,-,-
2018-10-30,-,-
2018-10-31,-,-
2018-11-01,-,-
2018-11-02,-,-
2018-11-03,-,-
2018-11-04,-,-
2018-11-05,-,-
2018-11-06,-,-
2018-11-07,-,301
2018-11-08,-,355
2018-11-09,-,367
2018-11-10,-,0
2018-11-11,-,1
2018-11-12,-,267
2018-11-13,-,343
2018-11-14,-,276
2018-11-15,-,337
2018-11-16,-,296
2018-11-17,-,0
2018-11-18,-,1
2018-11-19,-,316
2018-11-20,-,328
2018-11-21,-,260
2018-11-22,-,319
2018-11-23,-,273
2018-11-24,-,0
2018-11-25,-,0
2018-11-26,-,297
2018-11-27,-,312
2018-11-28,-,243
2018-11-29,-,303
2018-11-30,-,257
2018-12-01,-,0
2018-12-02,-,0
2018-12-03,-,284
2018-12-04,-,292
2018-12-05,-,289
2018-12-06,-,286
2018-12-07,-,231
2018-12-08,-,0
2018-12-09,-,0
2018-12-10,-,275
2018-12-11,-,286
2018-12-12,-,277
2018-12-13,-,271
2018-12-14,-,216
2018-12-15,-,0
2018-12-16,-,0
2018-12-17,-,260
2018-12-18,-,266
2018-12-19,-,260
2018-12-20,-,255
2018-12-21,-,200
2018-12-22,-,0
2018-12-23,-,0
2018-12-24,-,246
2018-12-25,-,250
2018-12-26,-,241
2018-12-27,-,243
2018-12-28,-,189
2018-12-29,-,5
2018-12-30,-,0
2018-12-31,-,235
2019-01-01,-,239
2019-01-02,-,232
2019-01-03,-,230
2019-01-04,-,219
2019-01-05,-,5
2019-01-06,-,0
2019-01-07,-,189
2019-01-08,-,190
2019-01-09,-,216
2019-01-10,-,214
2019-01-11,-,209
2019-01-12,-,5
2019-01-13,-,0
2019-01-14,-,165
2019-01-15,-,177
2019-01-16,-,203
2019-01-17,-,199
-,-,197
